,project,gea,numapt,avgsfperapt,dolpersf,dolperapt,totalprojectcost,totaltradecost
1,A,636074,650,979,199,194787,126611699,94345699
2,B,477246,498,958,213,204396,101789064,85827762
3,C,703184,395,1780,225,400425,158167867,127464947
4,D,415586,394,1055,317,334669,131859394,106422664
5,E,221313,189,1171,385,451390,85312660,72500532
6,F,258300,184,1404,418,587470,108094413,84055946
7,G,864868,835,1036,341,353085,294826044,241100259
8,H,354622,367,966,266,257080,94348484,74051545
9,I,310053,345,899,272,244703,84422410,66403310
10,J,1146366,820,1398,215,300384,246314480,199096678
11,K,483822,584,828,286,237304,138585695,109187466
12,L,734312,714,1028,347,357196,255038067,202966634
13,M,1195313,1028,1163,403,468900,482029408,389929462
14,N,410239,394,1041,472,491253,193553729,143023902
15,O,855541,800,1069,430,459625,367700352,297597354
16,P,917783,798,1150,455,523002,417355476,339036766
17,Y,830000,808,1027,NA,NA,NA,NA
18,Z,585000,569,1028,NA,NA,NA,NA
